#name	peak2d_x	peak2d_y	proj_x	proj_y
	b(2d)=0	f(2d)=0	b(proj)=0	f(proj)=0
186W_0gs	15427.7	3764.78	15420.2	3768.54

	b(2d)=0	f(2d)=1	b(proj)=0	f(proj)=1
186W_0gs	15456.7	3842.21	15458.6	3830.35

	b(2d)=0	f(2d)=2	b(proj)=0	f(proj)=2
186W_0gs	15496	3717.64	15460.4	3710.27

	b(2d)=0	f(2d)=3	b(proj)=0	f(proj)=3
186W_0gs	15524.8	3869.39	15500.9	3868.86

	b(2d)=0	f(2d)=4	b(proj)=0	f(proj)=4
186W_0gs	15525.6	3869.9	15501	3869.5

	b(2d)=0	f(2d)=5	b(proj)=0	f(proj)=5
186W_0gs	15547.8	3909.51	15481.5	3909.56

	b(2d)=0	f(2d)=6	b(proj)=0	f(proj)=6
186W_0gs	15560.5	3880.27	15539.5	3871.23

	b(2d)=0	f(2d)=7	b(proj)=0	f(proj)=7
186W_0gs	15525.6	3830.76	15498.6	3829.12

	b(2d)=1	f(2d)=0	b(proj)=1	f(proj)=0
186W_0gs	14986.8	3841.98	15018.7	3831.64

	b(2d)=1	f(2d)=1	b(proj)=1	f(proj)=1
186W_0gs	15014	3868.86	14978.6	3850.21

	b(2d)=1	f(2d)=2	b(proj)=1	f(proj)=2
186W_0gs	15113.6	3903.15	15060.7	3890.17

	b(2d)=1	f(2d)=3	b(proj)=1	f(proj)=3
186W_0gs	15173.9	3817.75	15139.6	3810.36

	b(2d)=1	f(2d)=4	b(proj)=1	f(proj)=4
186W_0gs	15201.4	3886.87	15181.3	3889.17

	b(2d)=1	f(2d)=5	b(proj)=1	f(proj)=5
186W_0gs	15205.5	3709.2	15181.1	3690.89

	b(2d)=1	f(2d)=6	b(proj)=1	f(proj)=6
186W_0gs	15209.4	3942.79	15179.8	3949.24

	b(2d)=1	f(2d)=7	b(proj)=1	f(proj)=7
186W_0gs	15115.2	3908.29	15099.7	3909.12

	b(2d)=2	f(2d)=0	b(proj)=2	f(proj)=0
186W_0gs	15470.4	3846.63	15459.2	3849.47

	b(2d)=2	f(2d)=1	b(proj)=2	f(proj)=1
186W_0gs	15458.2	3940.78	15460.1	3930.22

	b(2d)=2	f(2d)=2	b(proj)=2	f(proj)=2
186W_0gs	15494.4	3900.35	15498	3909.1

	b(2d)=2	f(2d)=3	b(proj)=2	f(proj)=3
186W_0gs	15503.9	4062.06	15499.9	4050.51

	b(2d)=2	f(2d)=4	b(proj)=2	f(proj)=4
186W_0gs	15543.7	3918.29	15500.5	3929.13

	b(2d)=2	f(2d)=5	b(proj)=2	f(proj)=5
186W_0gs	15530.3	3922.45	15500.6	3929.09

	b(2d)=2	f(2d)=6	b(proj)=2	f(proj)=6
186W_0gs	15519.4	3858.51	15499.3	3868.64

	b(2d)=2	f(2d)=7	b(proj)=2	f(proj)=7
186W_0gs	15416.9	4142.3	15418.5	4131.11

	b(2d)=3	f(2d)=0	b(proj)=3	f(proj)=0
186W_0gs	15763.4	4171.26	15741.6	4169.96

	b(2d)=3	f(2d)=1	b(proj)=3	f(proj)=1
186W_0gs	15797.4	4081.69	15781.4	4088.96

	b(2d)=3	f(2d)=2	b(proj)=3	f(proj)=2
186W_0gs	15816	3947.77	15819.3	3949.57

	b(2d)=3	f(2d)=3	b(proj)=3	f(proj)=3
186W_0gs	15828.8	4025.31	15821	4011.12

	b(2d)=3	f(2d)=4	b(proj)=3	f(proj)=4
186W_0gs	15847.9	3960.17	15857.8	3968.71

	b(2d)=3	f(2d)=5	b(proj)=3	f(proj)=5
186W_0gs	15856.9	4095.79	15859.9	4090.42

	b(2d)=3	f(2d)=6	b(proj)=3	f(proj)=6
186W_0gs	15872	4087.96	15859.8	4090.06

	b(2d)=3	f(2d)=7	b(proj)=3	f(proj)=7
186W_0gs	15823.8	4175.56	15781.5	4188.76

	b(2d)=4	f(2d)=0	b(proj)=4	f(proj)=0
186W_0gs	15883.3	4074.84	15861.4	4070.37

	b(2d)=4	f(2d)=1	b(proj)=4	f(proj)=1
186W_0gs	15888.6	4125.03	15861.5	4129.99

	b(2d)=4	f(2d)=2	b(proj)=4	f(proj)=2
186W_0gs	15866	4057.05	15822.8	4050.76

	b(2d)=4	f(2d)=3	b(proj)=4	f(proj)=3
186W_0gs	15876.4	4026.24	15861.3	4029.78

	b(2d)=4	f(2d)=4	b(proj)=4	f(proj)=4
186W_0gs	15849.3	3975.48	15858.6	3970.71

	b(2d)=4	f(2d)=5	b(proj)=4	f(proj)=5
186W_0gs	15848.3	4151.75	15818.7	4150.45

	b(2d)=4	f(2d)=6	b(proj)=4	f(proj)=6
186W_0gs	15849.6	4140.72	15821.8	4149.21

	b(2d)=4	f(2d)=7	b(proj)=4	f(proj)=7
186W_0gs	15804.1	4266.97	15780.2	4269.59

	b(2d)=5	f(2d)=0	b(proj)=5	f(proj)=0
186W_0gs	15720.9	4201.29	15737.2	4209.18

	b(2d)=5	f(2d)=1	b(proj)=5	f(proj)=1
186W_0gs	15730.2	4136.15	15738.6	4129.19

	b(2d)=5	f(2d)=2	b(proj)=5	f(proj)=2
186W_0gs	15844.7	4161.56	15820.2	4170.17

	b(2d)=5	f(2d)=3	b(proj)=5	f(proj)=3
186W_0gs	15883.9	4068.48	15861.5	4070.71
