#name	peak2d_x	peak2d_y	proj_x	proj_y
	b(2d)=0	f(2d)=0	b(proj)=0	f(proj)=0
186W_0gs	11237.9	4514.14	11258.5	4513.96
	b(2d)=0	f(2d)=1	b(proj)=0	f(proj)=1
186W_0gs	11313.1	4606.29	11295.5	4612.16
	b(2d)=0	f(2d)=2	b(proj)=0	f(proj)=2
186W_0gs	11506.3	4414.15	11494.8	4401.11
	b(2d)=0	f(2d)=3	b(proj)=0	f(proj)=3
186W_0gs	11525.9	4619.34	11525.9	4625.42
	b(2d)=0	f(2d)=4	b(proj)=0	f(proj)=4
186W_0gs	11610.8	4597.69	11541	4591.67
	b(2d)=0	f(2d)=5	b(proj)=0	f(proj)=5
186W_0gs	11666.2	4640	11633.6	4652.45
	b(2d)=0	f(2d)=6	b(proj)=0	f(proj)=6
186W_0gs	11758.6	4598.31	11739.2	4608.41
	b(2d)=0	f(2d)=7	b(proj)=0	f(proj)=7
186W_0gs	11612.1	4553.21	11529.4	4546.06
	b(2d)=1	f(2d)=0	b(proj)=1	f(proj)=0
186W_0gs	10874.4	4593.67	10838.8	4579.34
	b(2d)=1	f(2d)=1	b(proj)=1	f(proj)=1
186W_0gs	10833.3	4680	10796	4680
	b(2d)=1	f(2d)=2	b(proj)=1	f(proj)=2
186W_0gs	10987.7	4682.05	10987.7	4663.64
	b(2d)=1	f(2d)=3	b(proj)=1	f(proj)=3
186W_0gs	11155.6	4569.63	11105.5	4569.63
	b(2d)=1	f(2d)=4	b(proj)=1	f(proj)=4
186W_0gs	11337.1	4639.05	11340.5	4648.57
	b(2d)=1	f(2d)=5	b(proj)=1	f(proj)=5
186W_0gs	11298.1	4426.03	11271.2	4424.67
	b(2d)=1	f(2d)=6	b(proj)=1	f(proj)=6
186W_0gs	11336.4	4704.79	11335.8	4710.3
	b(2d)=1	f(2d)=7	b(proj)=1	f(proj)=7
186W_0gs	11352.8	4629.26	11267.4	4637.78
	b(2d)=2	f(2d)=0	b(proj)=2	f(proj)=0
186W_0gs	11261.6	4598.1	11194.5	4606.06
	b(2d)=2	f(2d)=1	b(proj)=2	f(proj)=1
186W_0gs	11322	4701.64	11293.6	4723.6
	b(2d)=2	f(2d)=2	b(proj)=2	f(proj)=2
186W_0gs	11371.2	4684.72	11366.4	4680.54
	b(2d)=2	f(2d)=3	b(proj)=2	f(proj)=3
186W_0gs	11572.6	4818.6	11574.4	4818.6
	b(2d)=2	f(2d)=4	b(proj)=2	f(proj)=4
186W_0gs	11601	4649.74	11601	4649.71
	b(2d)=2	f(2d)=5	b(proj)=2	f(proj)=5
186W_0gs	11370.7	4713.33	11318.5	4717.93
	b(2d)=2	f(2d)=6	b(proj)=2	f(proj)=6
186W_0gs	11724.2	4567.37	11702.9	4577.54
	b(2d)=2	f(2d)=7	b(proj)=2	f(proj)=7
186W_0gs	11493.3	4919.05	11439.6	4922.69
	b(2d)=3	f(2d)=0	b(proj)=3	f(proj)=0
186W_0gs	11377.2	5016.2	11238.3	5024.62
	b(2d)=3	f(2d)=1	b(proj)=3	f(proj)=1
186W_0gs	11457.2	4914.65	11435.2	4909.36
	b(2d)=3	f(2d)=2	b(proj)=3	f(proj)=2
186W_0gs	11497.8	4740	11504.4	4747.14
	b(2d)=3	f(2d)=3	b(proj)=3	f(proj)=3
186W_0gs	11659.7	4802.86	11627.2	4802.03
	b(2d)=3	f(2d)=4	b(proj)=3	f(proj)=4
186W_0gs	11724.3	4745	11711.1	4742.4
	b(2d)=3	f(2d)=5	b(proj)=3	f(proj)=5
186W_0gs	11739	4884.74	11684.6	4893.64
	b(2d)=3	f(2d)=6	b(proj)=3	f(proj)=6
186W_0gs	11777.3	4872.42	11736.1	4895.59
	b(2d)=3	f(2d)=7	b(proj)=3	f(proj)=7
186W_0gs	11803.3	4973.74	11746.5	4974.31
	b(2d)=4	f(2d)=0	b(proj)=4	f(proj)=0
186W_0gs	11662.5	4846.16	11650.7	4856.31
	b(2d)=4	f(2d)=1	b(proj)=4	f(proj)=1
186W_0gs	11716	4920.99	11700.7	4928.31
	b(2d)=4	f(2d)=2	b(proj)=4	f(proj)=2
186W_0gs	11846.6	4808.85	11767.5	4814.23
	b(2d)=4	f(2d)=3	b(proj)=4	f(proj)=3
186W_0gs	11797	4812.41	11783	4816.42
	b(2d)=4	f(2d)=4	b(proj)=4	f(proj)=4
186W_0gs	11891.4	4720.95	11880	4716.59
	b(2d)=4	f(2d)=5	b(proj)=4	f(proj)=5
186W_0gs	11812	4936.78	11787.8	4926.47
	b(2d)=4	f(2d)=6	b(proj)=4	f(proj)=6
186W_0gs	11932.7	4908.13	11851.2	4911.69
	b(2d)=4	f(2d)=7	b(proj)=4	f(proj)=7
186W_0gs	11974.7	5050	11953.8	5057.4
	b(2d)=5	f(2d)=0	b(proj)=5	f(proj)=0
186W_0gs	11648.6	4960.81	11601.9	4963.16
	b(2d)=5	f(2d)=1	b(proj)=5	f(proj)=1
186W_0gs	11594	4894.5	11517.8	4915.48
	b(2d)=5	f(2d)=2	b(proj)=5	f(proj)=2
186W_0gs	11693.5	4966.47	11707.5	4979.19
	b(2d)=5	f(2d)=3	b(proj)=5	f(proj)=3
186W_0gs	11871.3	4846.96	11873.8	4850.3
	b(2d)=5	f(2d)=4	b(proj)=5	f(proj)=4
186W_0gs	11889.9	5144.93	11867.9	5131.61
