#name	peak2d_x	peak2d_y	proj_x	proj_y
	b(2d)=0	f(2d)=0	b(proj)=0	f(proj)=0
188Re_0	9567.13	1194.26	9570.12	1190.97
19F_6	6529.95	730.819	6535	732.25

	b(2d)=0	f(2d)=1	b(proj)=0	f(proj)=1
188Re_0	9613.55	1204.26	9623.5	1205.48
19F_6	6595.87	736.216	6583.47	734.452

	b(2d)=0	f(2d)=2	b(proj)=0	f(proj)=2
188Re_0	9628.97	1178.21	9625.7	1173.78
19F_6	6659.21	720.361	6659.05	725.477

	b(2d)=0	f(2d)=3	b(proj)=0	f(proj)=3
188Re_0	9584.55	1224.09	9616.77	1225.92
19F_6	6731.75	734.084	6736.65	732.877

	b(2d)=0	f(2d)=4	b(proj)=0	f(proj)=4
188Re_0	9665.74	1215.66	9692.86	1214.92
19F_6	6794.4	730.994	6814.09	730.089

	b(2d)=0	f(2d)=5	b(proj)=0	f(proj)=5
188Re_0	9677.89	1227.02	9664.44	1227.54
19F_6	6877.84	730.825	6862.61	732.835

	b(2d)=0	f(2d)=6	b(proj)=0	f(proj)=6
188Re_0	9638.44	1221.01	9664.88	1224.92
19F_6	6936.28	725.716	6938.45	727.447

	b(2d)=0	f(2d)=7	b(proj)=0	f(proj)=7
188Re_0	9648.7	1211.82	9659.8	1208.77
19F_6	6992	711.935	6981.22	712.1

	b(2d)=1	f(2d)=0	b(proj)=1	f(proj)=0
188Re_0	9327.53	1215.97	9330.03	1214.81
19F_6	6320.71	750.127	6305.04	750.2

	b(2d)=1	f(2d)=1	b(proj)=1	f(proj)=1
188Re_0	9351.49	1214.39	9318.91	1212.81
19F_6	6362.21	749.284	6377.21	748.552

	b(2d)=1	f(2d)=2	b(proj)=1	f(proj)=2
188Re_0	9370.96	1224.57	9418.09	1226.92
19F_6	6453.02	749.443	6458.62	748.808

	b(2d)=1	f(2d)=3	b(proj)=1	f(proj)=3
188Re_0	9396.71	1205.48	9387.71	1209.19
19F_6	6533.65	729.904	6538.85	729.937

	b(2d)=1	f(2d)=4	b(proj)=1	f(proj)=4
188Re_0	9452.12	1225.28	9459.35	1226.02
19F_6	6608.7	737.425	6616.72	733.608

	b(2d)=1	f(2d)=5	b(proj)=1	f(proj)=5
188Re_0	9436.93	1172.7	9461.5	1172.54
19F_6	6679.36	709.719	6664.34	709.861

	b(2d)=1	f(2d)=6	b(proj)=1	f(proj)=6
188Re_0	9438.07	1229.75	9463.12	1228.63
19F_6	6748.29	722.277	6741.24	726.386

	b(2d)=1	f(2d)=7	b(proj)=1	f(proj)=7
188Re_0	9354.22	1241.19	9373.87	1234.32
19F_6	6799.85	730.057	6783.55	729.625

	b(2d)=2	f(2d)=0	b(proj)=2	f(proj)=0
188Re_0	9682.41	1214.07	9719.26	1213.7
19F_6	6663.29	746.615	6659.89	748.781

	b(2d)=2	f(2d)=1	b(proj)=2	f(proj)=1
188Re_0	9754.43	1237.13	9742.6	1232.48
19F_6	6721.65	759.121	6734.89	753.379

	b(2d)=2	f(2d)=2	b(proj)=2	f(proj)=2
188Re_0	9737.58	1227.01	9741.33	1229.43
19F_6	6796.76	742.028	6783.58	748.088

	b(2d)=2	f(2d)=3	b(proj)=2	f(proj)=3
